Data Year,County,Dashboard Fuel Type Group,Fuel Type,Make,Model,Number of Vehicles
2018,Sutter,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,GLE,1
2018,Sutter,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Panamera,1
2018,Sutter,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,13
2018,Sutter,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,18
2018,Sutter,Other,Propane,, ,8
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,1
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,2
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,1
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,11
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,4
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,5
2018,Tehama,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,2
2018,Tehama,Diesel,Diesel,, ,4646
2018,Tehama,Gasoline,Flex Fuel,, ,2891
2018,Tehama,Gasoline,Gasoline,, ,39606
2018,Tehama,Gasoline Hybrid,Gasoline Hybrid,, ,794
2018,Tehama,Other,Natural Gas,, ,2
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,18
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,8
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,9
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Clarity Plug-In Hybrid,1
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,IONIQ PHEV,1
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,5
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,6
2018,Tehama,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC90,1
2018,Tehama,Other,Propane,, ,2
2018,Trinity,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,1
2018,Trinity,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,1
2018,Trinity,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,5
2018,Trinity,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,1
2018,Trinity,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,1
2018,Trinity,Diesel,Diesel,, ,1350
2018,Trinity,Gasoline,Flex Fuel,, ,472
2018,Trinity,Gasoline,Gasoline,, ,10054
2018,Trinity,Gasoline Hybrid,Gasoline Hybrid,, ,156
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i3 REx,1
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,6
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chrysler,Pacifica Hybrid,2
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,2
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,1
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Clarity Plug-In Hybrid,2
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,2
2018,Trinity,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,1
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),BMW,i3,2
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,14
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,8
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),FIAT,500e,211
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,6
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Honda,Clarity Electric,3
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Mercedes-Benz,B-Class,1
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Mitsubishi,i-MiEV,1
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,55
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Smart,Fortwo Electric Drive,3
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,69
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,70
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,26
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Toyota,RAV4 EV,1
2018,Tulare,Battery Electric (BEV),Battery Electric (BEV),Volkswagen,e-Golf,2
2018,Tulare,Diesel,Diesel,, ,11672
2018,Tulare,Gasoline,Flex Fuel,, ,19368
2018,Tulare,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,Clarity Fuel Cell,1
2018,Tulare,Gasoline,Gasoline,, ,268795
2018,Tulare,Gasoline Hybrid,Gasoline Hybrid,, ,4043
2018,Tulare,Other,Natural Gas,, ,41
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,3 Series,2
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,5 Series,10
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,X5,2
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i3 REx,10
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i8,3
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Cadillac,ELR,2
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,120
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chrysler,Pacifica Hybrid,7
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,19
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,52
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Clarity Plug-In Hybrid,9
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,IONIQ PHEV,5
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,SONATA Plug-in Hybrid,4
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Niro Plug-In Hybrid,2
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Optima Plug-In Hybrid,2
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,GLE,1
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,S-Class,3
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mitsubishi,Outlander PHEV,3
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Cayenne,1
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Panamera,1
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,38
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,78
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,S90,1
2018,Tulare,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC90,3
2018,Tulare,Other,Propane,, ,5
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),BMW,i3,1
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,4
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,3
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),FIAT,500e,2
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,2
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Kia,Soul EV,1
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,11
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,13
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,12
2018,Tuolumne,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,4
2018,Tuolumne,Diesel,Diesel,, ,4342
2018,Tuolumne,Gasoline,Flex Fuel,, ,2298
2018,Tuolumne,Gasoline,Gasoline,, ,45607
2018,Tuolumne,Gasoline Hybrid,Gasoline Hybrid,, ,846
2018,Tuolumne,Other,Natural Gas,, ,2
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Audi,A3 Sportback e-tron,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i3 REx,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Cadillac,ELR,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,32
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chrysler,Pacifica Hybrid,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,7
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,7
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Accord Plug-In Hybrid,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mitsubishi,Outlander PHEV,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Cayenne,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Panamera,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,15
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,12
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC60,1
2018,Tuolumne,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC90,1
2018,Tuolumne,Other,Propane,, ,2
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),BMW,i3,39
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,429
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,66
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),FIAT,500e,253
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,75
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,8
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Honda,Clarity Electric,60
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Honda,Fit EV,10
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Hyundai,IONIQ Electric,32
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Jaguar,I-PACE,1
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Kia,Soul EV,23
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Mercedes-Benz,B-Class,17
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Mitsubishi,i-MiEV,2
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,400
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Smart,Fortwo Electric Drive,18
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,1055
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,1114
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,348
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,9
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Toyota,RAV4 EV,27
2018,Ventura,Battery Electric (BEV),Battery Electric (BEV),Volkswagen,e-Golf,74
2018,Ventura,Diesel,Diesel,, ,17507
2018,Ventura,Gasoline,Flex Fuel,, ,25638
2018,Ventura,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,Clarity Fuel Cell,13
2018,Ventura,Fuel Cell (FCEV),Fuel Cell (FCEV),Hyundai,TUCSON Fuel Cell,11
2018,Ventura,Fuel Cell (FCEV),Fuel Cell (FCEV),Toyota,Mirai,37
2018,Ventura,Gasoline,Gasoline,, ,589239
2018,Ventura,Gasoline Hybrid,Gasoline Hybrid,, ,24236
2018,Ventura,Other,Natural Gas,, ,77
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Audi,A3 Sportback e-tron,127
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,3 Series,75
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,5 Series,159
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,7 Series,12
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,X5,106
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i3 REx,269
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i8,30
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Cadillac,CT6 PHEV,3
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Cadillac,ELR,20
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,1666
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chrysler,Pacifica Hybrid,91
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Fisker,Karma,6
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,333
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,544
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Accord Plug-In Hybrid,13
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Clarity Plug-In Hybrid,194
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,IONIQ PHEV,28
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,SONATA Plug-in Hybrid,34
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Karma,Revero,2
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Niro Plug-In Hybrid,27
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Optima Plug-In Hybrid,15
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),MINI,Countryman Plug-In Hybrid,30
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,C-Class,42
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,GLC,5
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,GLE,15
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,S-Class,25
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mitsubishi,Outlander PHEV,20
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Cayenne,42
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Panamera,27
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,352
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,468
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,S90,1
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC60,8
2018,Ventura,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC90,35
2018,Ventura,Other,Propane,, ,14
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),BMW,i3,15
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,121
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,14
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),FIAT,500e,26
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,15
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Honda,Clarity Electric,19
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Honda,Fit EV,5
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Hyundai,IONIQ Electric,1
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Kia,Soul EV,12
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Mercedes-Benz,B-Class,2
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Mitsubishi,i-MiEV,6
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,234
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Smart,Fortwo Electric Drive,6
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,209
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,158
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,52
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Toyota,RAV4 EV,10
2018,Yolo,Battery Electric (BEV),Battery Electric (BEV),Volkswagen,e-Golf,25
2018,Yolo,Diesel,Diesel,, ,5378
2018,Yolo,Gasoline,Flex Fuel,, ,6611
2018,Yolo,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,Clarity Fuel Cell,15
2018,Yolo,Fuel Cell (FCEV),Fuel Cell (FCEV),Toyota,Mirai,20
2018,Yolo,Gasoline,Gasoline,, ,122935
2018,Yolo,Gasoline Hybrid,Gasoline Hybrid,, ,6552
2018,Yolo,Other,Natural Gas,, ,26
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Audi,A3 Sportback e-tron,18
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,3 Series,5
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,5 Series,1
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,7 Series,1
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,X5,5
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i3 REx,18
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i8,2
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Cadillac,CT6 PHEV,2
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,325
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chrysler,Pacifica Hybrid,39
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Fisker,Karma,1
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,86
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,119
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Accord Plug-In Hybrid,15
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Clarity Plug-In Hybrid,56
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,IONIQ PHEV,10
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,SONATA Plug-in Hybrid,8
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Niro Plug-In Hybrid,17
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Optima Plug-In Hybrid,6
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),MINI,Countryman Plug-In Hybrid,4
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,GLC,1
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,GLE,3
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,S-Class,1
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mitsubishi,Outlander PHEV,6
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,918 Spyder,1
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Cayenne,5
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Porsche,Panamera,2
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,120
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,160
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC60,5
2018,Yolo,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Volvo,XC90,10
2018,Yolo,Other,Propane,, ,9
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,10
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,1
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),FIAT,500e,4
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Mercedes-Benz,B-Class,1
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,10
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,5
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,5
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,3
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2018,Yuba,Battery Electric (BEV),Battery Electric (BEV),Volkswagen,e-Golf,1
2018,Yuba,Diesel,Diesel,, ,2995
2018,Yuba,Gasoline,Flex Fuel,, ,2737
2018,Yuba,Gasoline,Gasoline,, ,45459
2018,Yuba,Gasoline Hybrid,Gasoline Hybrid,, ,1069
2018,Yuba,Other,Natural Gas,, ,4
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Audi,A3 Sportback e-tron,1
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,X5,1
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),BMW,i3 REx,5
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Cadillac,ELR,1
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chevrolet,Volt,43
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Chrysler,Pacifica Hybrid,5
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,C-MAX Energi,7
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Ford,Fusion Energi,11
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Honda,Clarity Plug-In Hybrid,2
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Hyundai,IONIQ PHEV,2
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Kia,Niro Plug-In Hybrid,1
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Mercedes-Benz,S-Class,1
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Plug-In Hybrid,8
2018,Yuba,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius Prime,19
2018,Yuba,Other,Propane,, ,1
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Audi,e-tron,79
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),BMW,i3,327
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Bolt EV,3288
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Chevrolet,Spark EV,168
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),FIAT,500e,574
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Ford,Focus,196
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Ford,Transit Connect Electric,3
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Honda,Clarity Electric,167
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Honda,Fit EV,11
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Hyundai,IONIQ Electric,48
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Hyundai,KONA EV,92
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Jaguar,I-PACE,45
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Kia,Niro EV,129
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Kia,Soul EV,197
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Mercedes-Benz,B-Class,114
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Mitsubishi,i-MiEV,30
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Nissan,LEAF,3740
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Smart,EQ Fortwo,10
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Smart,Fortwo Electric Drive,122
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model 3,9634
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model S,3887
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Model X,2136
2019,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,30
